Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
77070.0,1152.83,486.4784,202.5228,77800.0,313.2548,0.9092,0.9906,0.5715,0.7287,2.4021,0.6439,URGUP_SIVRISI
100403.0,1270.844,524.998,244.0644,101143.0,357.5431,0.8854,0.9927,0.7399,0.7812,2.1511,0.681,URGUP_SIVRISI
77194.0,1228.611,544.9214,181.5364,77899.0,313.5067,0.9429,0.9909,0.7768,0.6426,3.0017,0.5753,URGUP_SIVRISI
73613.0,1086.947,447.9943,209.9353,74220.0,306.1486,0.8834,0.9918,0.7485,0.783,2.134,0.6834,URGUP_SIVRISI
77944.0,1072.146,426.5796,233.7098,78432.0,315.026,0.8366,0.9938,0.6677,0.8521,1.8253,0.7385,CERCEVELIK
73958.0,1101.126,454.4932,208.013,74727.0,306.8652,0.8891,0.9897,0.689,0.7665,2.1849,0.6752,URGUP_SIVRISI
81422.0,1153.561,480.8185,216.2706,82045.0,321.9778,0.8931,0.9924,0.6746,0.7689,2.2232,0.6696,URGUP_SIVRISI
64557.0,962.801,371.5194,222.7375,65056.0,286.6994,0.8004,0.9923,0.7197,0.8751,1.668,0.7717,CERCEVELIK
81266.0,1173.686,476.9696,219.1813,82407.0,321.6692,0.8882,0.9862,0.7016,0.7413,2.1761,0.6744,CERCEVELIK
116794.0,1408.879,590.179,253.0743,117698.0,385.6251,0.9034,0.9923,0.728,0.7394,2.332,0.6534,URGUP_SIVRISI
74626.0,1125.769,473.1751,201.5642,75383.0,308.2479,0.9047,0.99,0.5713,0.7399,2.3475,0.6514,URGUP_SIVRISI
73030.0,1107.544,468.1412,199.4204,73777.0,304.9339,0.9047,0.9899,0.5559,0.7482,2.3475,0.6514,URGUP_SIVRISI
84061.0,1264.182,552.5271,194.4664,84836.0,327.1541,0.936,0.9909,0.7553,0.661,2.8412,0.5921,URGUP_SIVRISI
79103.0,1137.093,470.8921,214.586,79992.0,317.3595,0.8901,0.9889,0.5939,0.7688,2.1944,0.674,CERCEVELIK
94496.0,1333.288,545.3045,223.8304,96097.0,346.866,0.9119,0.9833,0.6177,0.668,2.4362,0.6361,URGUP_SIVRISI
109914.0,1443.428,632.108,221.9675,110931.0,374.0947,0.9363,0.9908,0.7529,0.6629,2.8478,0.5918,URGUP_SIVRISI
58684.0,917.482,355.8436,210.4503,59202.0,273.3474,0.8064,0.9913,0.7156,0.8761,1.6909,0.7682,CERCEVELIK
69209.0,1020.574,395.2678,223.7348,69893.0,296.8495,0.8244,0.9902,0.7337,0.835,1.7667,0.751,CERCEVELIK
78025.0,1198.898,446.993,229.1742,79611.0,315.1897,0.8586,0.9801,0.646,0.6821,1.9505,0.7051,URGUP_SIVRISI
86159.0,1153.708,444.88,248.0075,87338.0,331.2115,0.8302,0.9865,0.6673,0.8134,1.7938,0.7445,CERCEVELIK
85336.0,1136.469,449.1391,242.7072,86123.0,329.6258,0.8414,0.9909,0.6867,0.8303,1.8505,0.7339,CERCEVELIK
73323.0,1040.135,404.7765,231.9697,74402.0,305.545,0.8195,0.9855,0.746,0.8517,1.745,0.7548,CERCEVELIK
93040.0,1184.376,461.3713,259.417,94143.0,344.1834,0.827,0.9883,0.7036,0.8335,1.7785,0.746,CERCEVELIK
99850.0,1242.628,489.7905,260.996,101228.0,356.5571,0.8462,0.9864,0.7413,0.8126,1.8766,0.728,CERCEVELIK
92679.0,1258.543,533.8832,222.0801,93446.0,343.515,0.9094,0.9918,0.757,0.7353,2.404,0.6434,URGUP_SIVRISI
91684.0,1258.478,530.5746,221.7048,92605.0,341.6661,0.9085,0.9901,0.7461,0.7275,2.3932,0.644,URGUP_SIVRISI
61589.0,989.151,389.2343,203.103,62939.0,280.0313,0.8531,0.9786,0.6249,0.791,1.9164,0.7194,CERCEVELIK
71905.0,1055.36,411.1628,224.5878,72726.0,302.5761,0.8376,0.9887,0.6479,0.8113,1.8307,0.7359,CERCEVELIK
90219.0,1216.848,505.0861,227.8755,90973.0,338.9254,0.8924,0.9917,0.6135,0.7657,2.2165,0.671,URGUP_SIVRISI
90475.0,1172.735,454.0345,256.6455,91992.0,339.4059,0.8249,0.9835,0.7561,0.8267,1.7691,0.7475,CERCEVELIK
76609.0,1108.46,456.8849,214.0607,77329.0,312.3165,0.8835,0.9907,0.6054,0.7835,2.1344,0.6836,URGUP_SIVRISI
105853.0,1234.626,469.2956,288.6814,106944.0,367.1188,0.7884,0.9898,0.7311,0.8727,1.6257,0.7823,CERCEVELIK
85763.0,1137.091,454.044,241.3613,86401.0,330.4495,0.847,0.9926,0.654,0.8335,1.8812,0.7278,URGUP_SIVRISI
66846.0,1000.908,399.247,213.9647,67418.0,291.7378,0.8443,0.9915,0.75,0.8385,1.8659,0.7307,CERCEVELIK
70395.0,1088.52,465.1036,193.3899,71016.0,299.3822,0.9095,0.9913,0.7506,0.7466,2.405,0.6437,URGUP_SIVRISI
106538.0,1318.775,538.0987,254.0946,107575.0,368.3048,0.8815,0.9904,0.6282,0.7698,2.1177,0.6845,URGUP_SIVRISI
74014.0,1156.549,496.6674,191.653,74728.0,306.9814,0.9225,0.9904,0.6688,0.6953,2.5915,0.6181,URGUP_SIVRISI
65411.0,962.03,359.5264,232.5253,66102.0,288.5895,0.7627,0.9895,0.7266,0.8881,1.5462,0.8027,CERCEVELIK
89747.0,1206.364,498.7569,229.8469,90485.0,338.0376,0.8875,0.9918,0.7109,0.7749,2.17,0.6778,URGUP_SIVRISI
71393.0,1096.533,459.2091,199.1305,72203.0,301.4969,0.9011,0.9888,0.6,0.7461,2.3061,0.6566,CERCEVELIK
81583.0,1115.162,447.6351,232.6595,82271.0,322.296,0.8543,0.9916,0.7428,0.8244,1.924,0.72,CERCEVELIK
87277.0,1216.706,498.7052,223.8359,88147.0,333.3535,0.8936,0.9901,0.7379,0.7409,2.228,0.6684,CERCEVELIK
67562.0,1017.263,383.6983,228.6981,68465.0,293.2961,0.803,0.9868,0.6326,0.8204,1.6777,0.7644,URGUP_SIVRISI
108392.0,1360.61,565.6282,245.2117,109408.0,371.4956,0.9011,0.9907,0.5901,0.7358,2.3067,0.6568,URGUP_SIVRISI
79074.0,1065.425,398.656,253.8709,79681.0,317.3013,0.771,0.9924,0.7359,0.8754,1.5703,0.7959,CERCEVELIK
88080.0,1164.587,473.4731,237.4181,88730.0,334.8835,0.8652,0.9927,0.6462,0.8161,1.9943,0.7073,URGUP_SIVRISI
80622.0,1123.28,454.5577,226.9589,81477.0,320.3921,0.8664,0.9895,0.7411,0.8029,2.0028,0.7048,URGUP_SIVRISI
83000.0,1194.718,508.171,208.7585,83783.0,325.0829,0.9117,0.9907,0.5678,0.7307,2.4343,0.6397,URGUP_SIVRISI
90343.0,1253.917,534.1265,216.2595,91208.0,339.1582,0.9144,0.9905,0.6669,0.722,2.4698,0.635,URGUP_SIVRISI
97967.0,1187.56,454.1566,275.5373,98698.0,353.1791,0.7949,0.9926,0.7418,0.8729,1.6483,0.7777,CERCEVELIK
103495.0,1331.597,556.645,238.7312,104549.0,363.0068,0.9034,0.9899,0.7218,0.7335,2.3317,0.6521,URGUP_SIVRISI
85753.0,1202.061,500.1728,219.6066,87058.0,330.4302,0.8985,0.985,0.6944,0.7458,2.2776,0.6606,URGUP_SIVRISI
89824.0,1172.137,467.1314,245.7754,90705.0,338.1826,0.8504,0.9903,0.652,0.8216,1.9006,0.724,CERCEVELIK
58701.0,924.23,361.2761,207.3608,59204.0,273.387,0.8189,0.9915,0.6746,0.8636,1.7423,0.7567,CERCEVELIK
82306.0,1116.464,410.7504,256.2447,83372.0,323.721,0.7815,0.9872,0.7325,0.8298,1.603,0.7881,CERCEVELIK
85873.0,1156.115,453.394,242.7586,86909.0,330.6613,0.8446,0.9881,0.6992,0.8074,1.8677,0.7293,CERCEVELIK
95746.0,1196.392,468.372,260.9647,96617.0,349.1527,0.8304,0.991,0.7322,0.8406,1.7948,0.7455,CERCEVELIK
56533.0,899.493,345.5949,209.7973,57101.0,268.291,0.7947,0.9901,0.7129,0.878,1.6473,0.7763,CERCEVELIK
71141.0,1126.925,486.4598,187.065,71768.0,300.9643,0.9231,0.9913,0.5851,0.7039,2.6005,0.6187,URGUP_SIVRISI
68526.0,1051.861,434.7539,201.582,69134.0,295.3811,0.886,0.9912,0.6524,0.7783,2.1567,0.6794,URGUP_SIVRISI
63720.0,1017.504,424.347,191.7468,64566.0,284.8347,0.8921,0.9869,0.7346,0.7734,2.2131,0.6712,URGUP_SIVRISI
58698.0,943.084,366.4001,206.2926,59542.0,273.38,0.8264,0.9858,0.7224,0.8293,1.7761,0.7461,CERCEVELIK
56296.0,931.011,378.5936,190.0321,56823.0,267.728,0.8649,0.9907,0.6846,0.8162,1.9923,0.7072,URGUP_SIVRISI
123618.0,1376.109,533.3902,296.2779,124732.0,396.7308,0.8315,0.9911,0.6679,0.8203,1.8003,0.7438,URGUP_SIVRISI
99484.0,1325.349,572.9679,222.0452,100347.0,355.903,0.9219,0.9914,0.7615,0.7117,2.5804,0.6212,URGUP_SIVRISI
95497.0,1199.376,472.5344,258.6676,96748.0,348.6984,0.8369,0.9871,0.7387,0.8342,1.8268,0.7379,CERCEVELIK
102333.0,1273.388,500.5511,261.6773,103529.0,360.9632,0.8525,0.9884,0.6833,0.7931,1.9129,0.7211,CERCEVELIK
56801.0,1008.319,430.8933,168.5249,57790.0,268.9262,0.9203,0.9829,0.6397,0.7021,2.5569,0.6241,URGUP_SIVRISI
114177.0,1411.442,598.6151,244.0708,115297.0,381.2803,0.9131,0.9903,0.5451,0.7202,2.4526,0.6369,URGUP_SIVRISI
78532.0,1123.849,432.7165,232.2045,79455.0,316.212,0.8438,0.9884,0.6983,0.7813,1.8635,0.7308,CERCEVELIK
77089.0,1165.28,504.6827,195.2597,77627.0,313.2934,0.9221,0.9931,0.5449,0.7134,2.5847,0.6208,URGUP_SIVRISI
77103.0,1088.571,439.9429,224.1217,77709.0,313.3219,0.8605,0.9922,0.745,0.8177,1.963,0.7122,CERCEVELIK
67526.0,1014.952,397.593,217.4362,68407.0,293.218,0.8372,0.9871,0.7196,0.8237,1.8285,0.7375,CERCEVELIK
106610.0,1290.417,502.5752,272.1092,108253.0,368.4292,0.8407,0.9848,0.6764,0.8045,1.847,0.7331,CERCEVELIK
68683.0,1021.57,409.83,214.3968,69337.0,295.7193,0.8522,0.9906,0.6526,0.827,1.9115,0.7216,CERCEVELIK
76815.0,1155.787,488.001,201.7788,77704.0,312.7361,0.9105,0.9886,0.7431,0.7226,2.4185,0.6409,URGUP_SIVRISI
73326.0,1048.647,408.789,229.636,74342.0,305.5512,0.8273,0.9863,0.7165,0.8379,1.7802,0.7475,CERCEVELIK
90502.0,1156.473,441.8533,261.7291,91383.0,339.4565,0.8057,0.9904,0.702,0.8503,1.6882,0.7683,CERCEVELIK
83124.0,1177.786,498.3869,213.2347,83752.0,325.3256,0.9038,0.9925,0.611,0.753,2.3373,0.6528,URGUP_SIVRISI
77975.0,1115.537,457.1558,218.222,78637.0,315.0886,0.8787,0.9916,0.7354,0.7874,2.0949,0.6892,URGUP_SIVRISI
101320.0,1265.097,510.9445,253.691,102756.0,359.1721,0.868,0.986,0.7481,0.7955,2.014,0.703,URGUP_SIVRISI
86731.0,1185.141,493.0099,224.6722,87625.0,332.3091,0.8901,0.9898,0.7274,0.776,2.1944,0.674,URGUP_SIVRISI
73644.0,1063.177,431.8798,218.0912,74167.0,306.2131,0.8631,0.9929,0.7106,0.8187,1.9803,0.709,URGUP_SIVRISI
85461.0,1136.125,446.2935,245.1551,86344.0,329.8671,0.8356,0.9898,0.7457,0.832,1.8205,0.7391,CERCEVELIK
83083.0,1134.794,446.3243,237.5696,84106.0,325.2454,0.8466,0.9878,0.7143,0.8108,1.8787,0.7287,CERCEVELIK
73018.0,1056.45,399.4726,233.5491,74076.0,304.9088,0.8113,0.9857,0.6672,0.8221,1.7104,0.7633,CERCEVELIK
85569.0,1183.556,491.6035,223.1268,86693.0,330.0755,0.8911,0.987,0.6871,0.7676,2.2032,0.6714,CERCEVELIK
67879.0,999.949,378.0646,230.2247,68541.0,293.9834,0.7932,0.9903,0.7413,0.8531,1.6422,0.7776,CERCEVELIK
125697.0,1403.472,569.1473,282.2073,126538.0,400.053,0.8684,0.9934,0.6595,0.8019,2.0168,0.7029,URGUP_SIVRISI
86429.0,1116.46,429.9511,257.0631,87142.0,331.73,0.8016,0.9918,0.7385,0.8713,1.6726,0.7716,CERCEVELIK
94940.0,1221.537,488.8275,248.7931,96135.0,347.68,0.8608,0.9876,0.7417,0.7996,1.9648,0.7113,CERCEVELIK
77320.0,1054.145,401.5085,246.4752,78314.0,313.7625,0.7894,0.9873,0.7447,0.8744,1.629,0.7815,CERCEVELIK
87310.0,1124.209,429.4243,261.0947,88158.0,333.4165,0.7939,0.9904,0.7421,0.8681,1.6447,0.7764,URGUP_SIVRISI
93313.0,1307.838,567.7221,209.8631,94082.0,344.688,0.9292,0.9918,0.6734,0.6856,2.7052,0.6071,URGUP_SIVRISI
70609.0,1011.299,393.8305,228.639,71270.0,299.8369,0.8142,0.9907,0.6798,0.8676,1.7225,0.7613,CERCEVELIK
96807.0,1171.144,437.3727,283.4197,97874.0,351.0819,0.7616,0.9891,0.7325,0.8869,1.5432,0.8027,CERCEVELIK
55763.0,926.686,377.8193,188.2779,56282.0,266.4576,0.867,0.9908,0.6657,0.816,2.0067,0.7053,URGUP_SIVRISI
70932.0,1081.357,453.641,200.3487,71543.0,300.5219,0.8972,0.9915,0.7559,0.7623,2.2643,0.6625,URGUP_SIVRISI
80991.0,1146.528,476.0073,217.9097,81621.0,321.1245,0.8891,0.9923,0.7225,0.7742,2.1844,0.6746,URGUP_SIVRISI
67796.0,1004.675,384.1239,226.0686,68610.0,293.8036,0.8085,0.9881,0.696,0.844,1.6991,0.7649,CERCEVELIK
109090.0,1329.377,550.3895,253.2163,110035.0,372.6898,0.8879,0.9914,0.6623,0.7757,2.1736,0.6771,URGUP_SIVRISI
72901.0,1079.894,446.233,208.3804,73523.0,304.6645,0.8843,0.9915,0.75,0.7856,2.1414,0.6827,CERCEVELIK
63404.0,967.393,381.4378,212.2098,64033.0,284.1276,0.831,0.9902,0.6728,0.8514,1.7975,0.7449,CERCEVELIK
117550.0,1453.922,619.1037,242.8791,118597.0,386.8712,0.9198,0.9912,0.5828,0.6988,2.549,0.6249,URGUP_SIVRISI
67342.0,995.002,382.9289,225.3846,68007.0,292.8182,0.8084,0.9902,0.7141,0.8548,1.699,0.7647,CERCEVELIK
94816.0,1211.79,485.911,250.8372,96076.0,347.4528,0.8565,0.9869,0.7252,0.8114,1.9372,0.7151,URGUP_SIVRISI
108918.0,1398.964,604.7619,229.5318,109782.0,372.3959,0.9252,0.9921,0.5168,0.6994,2.6348,0.6158,URGUP_SIVRISI
92851.0,1194.477,458.9213,260.63,94170.0,343.8336,0.8231,0.986,0.7629,0.8178,1.7608,0.7492,CERCEVELIK
78850.0,1107.497,402.3104,252.2188,79870.0,316.8516,0.7791,0.9872,0.7338,0.8078,1.5951,0.7876,CERCEVELIK
74733.0,1128.328,479.1548,198.9175,75315.0,308.4688,0.9098,0.9923,0.5504,0.7377,2.4088,0.6438,URGUP_SIVRISI
60805.0,1013.861,413.9636,187.8367,61549.0,278.2433,0.8911,0.9879,0.7501,0.7433,2.2038,0.6721,URGUP_SIVRISI
74118.0,1104.838,459.8106,206.5968,74996.0,307.197,0.8934,0.9883,0.6102,0.763,2.2256,0.6681,URGUP_SIVRISI
57012.0,906.564,343.189,213.5493,57758.0,269.4252,0.7828,0.9871,0.6875,0.8717,1.6071,0.7851,CERCEVELIK
91338.0,1210.058,505.5068,230.9829,91971.0,341.0208,0.8895,0.9931,0.7621,0.7839,2.1885,0.6746,URGUP_SIVRISI
75580.0,1088.163,441.7813,218.4192,76271.0,310.2119,0.8692,0.9909,0.7582,0.8021,2.0226,0.7022,CERCEVELIK
58987.0,977.41,404.0779,186.371,59518.0,274.0522,0.8873,0.9911,0.7327,0.7759,2.1681,0.6782,URGUP_SIVRISI
92432.0,1124.035,402.6564,292.9598,93267.0,343.057,0.686,0.991,0.7606,0.9193,1.3744,0.852,CERCEVELIK
103569.0,1388.145,603.972,220.3183,104809.0,363.1365,0.9311,0.9882,0.5145,0.6754,2.7414,0.6012,URGUP_SIVRISI
106453.0,1331.894,555.5923,245.516,107393.0,368.1578,0.8971,0.9912,0.7563,0.7541,2.263,0.6626,URGUP_SIVRISI
105093.0,1320.361,548.6545,244.7915,106199.0,365.7985,0.8949,0.9896,0.5704,0.7575,2.2413,0.6667,URGUP_SIVRISI
72500.0,1056.029,422.9586,219.3545,73252.0,303.8254,0.855,0.9897,0.7494,0.817,1.9282,0.7183,CERCEVELIK
98410.0,1327.267,573.2172,219.4334,99166.0,353.9767,0.9238,0.9924,0.748,0.702,2.6123,0.6175,URGUP_SIVRISI
95230.0,1240.41,503.9269,241.9388,96868.0,348.2106,0.8772,0.9831,0.7266,0.7778,2.0829,0.691,CERCEVELIK
69106.0,1053.71,438.7323,202.0612,69645.0,296.6285,0.8876,0.9923,0.7737,0.7821,2.1713,0.6761,URGUP_SIVRISI
72826.0,1068.76,435.5519,213.7546,73578.0,304.5077,0.8713,0.9898,0.6267,0.8012,2.0376,0.6991,URGUP_SIVRISI
73111.0,1106.783,466.66,200.6157,73767.0,305.103,0.9029,0.9911,0.6726,0.75,2.3261,0.6538,URGUP_SIVRISI
78759.0,1115.483,451.0389,222.8671,79428.0,316.6687,0.8694,0.9916,0.7445,0.7954,2.0238,0.7021,CERCEVELIK
96056.0,1188.744,457.9938,268.6044,96841.0,349.7175,0.81,0.9919,0.7396,0.8542,1.7051,0.7636,CERCEVELIK
110059.0,1382.47,584.8026,241.0675,111190.0,374.3414,0.9111,0.9898,0.6606,0.7236,2.4259,0.6401,URGUP_SIVRISI
68713.0,1027.706,401.2474,218.9231,69503.0,295.7839,0.838,0.9886,0.6857,0.8175,1.8328,0.7372,CERCEVELIK
